구간 번호,관리청,도로 분류,대표지역,도로(노선)명,총길이(km),기점_위도(WGS84(4326)),기점_경도(WGS84(4326)),종점_위도(WGS84(4326)),종점_경도(WGS84(4326)),정북기준 도로방향 각도(x1),정북기준 도로방향 각도(y1),정북기준 도로방향 각도(기점 기준십진수 방위각)
11001-5,서울특별시 시설공단,시도,서울특별시 성북구,내부순환로,0.5,37.57523304,127.0345748,37.57206777,127.0386937,-0.004118842,0.003165274,142.4582159
11001-6,서울특별시 시설공단,시도,서울특별시 영등포구,서부간선로,1.5,37.54102941,126.8888918,37.5304316,126.8898922,-0.00100045,0.010597805,95.39283451
11001-7,서울특별시 시설공단,시도,서울특별시 구로구,서부간선로,2.5,37.48529747,126.873662,37.46600691,126.8858973,-0.012235376,0.019290563,122.3856263
11001-8,서울특별시 시설공단,시도,서울특별시 노원구,북부간선로,1,37.61485704,127.0683752,37.61809443,127.0910015,-0.022626255,-0.003237388,188.1426742
11001-9,서울특별시 시설공단,시도,서울특별시 강남구,동부간선로(B),1.4,37.52384774,127.0629887,37.51249378,127.0678199,-0.004831137,0.011353961,113.0498643
11001-10,서울특별시 시설공단,시도,서울특별시 강남구,언주로,0.4,37.47582147,127.0597327,37.46327062,127.0712474,-0.011514727,0.012550848,132.5347072
11001-11,서울특별시 시설공단,시도,서울특별시 서초구,언주로,0.2,37.460263,127.0747101,37.45729736,127.0761929,-0.001482743,0.002965644,116.5638245
11001-12,서울특별시 시설공단,시도,서울특별시 광진구,동부간선로(B),1.4,37.53099824,127.0642008,37.53122357,127.0642943,-0.0000935,-0.000225322,247.4555206
11001-13,서울특별시 시설공단,시도,서울특별시 강남구,올림픽대로,2,37.53231407,127.0362305,37.52644412,127.0547652,-0.018534702,0.005869942,162.4270001
11001-14,서울특별시 시설공단,시도,서울특별시 마포구,강변북로,0.2,37.56431246,126.8841539,37.56139076,126.8884961,-0.004342194,0.002921692,146.0649382
11110-1,서울특별시 종로구,시도,서울특별시 종로구,인왕산로,2.6,37.57478,126.967399,37.592354,126.96611,0.001289,-0.017574,274.1949611
11110-2,서울특별시 종로구,시도,서울특별시 종로구,북악산로,2.64,37.592354,126.96611,37.601653,126.980606,-0.014496,-0.009299,212.6796566
11140-13,서울특별시 중구,시도,서울특별시 중구,소파로,1.6,37.55612072,126.9771082,37.56080314,126.9881894,-0.01108119,-0.004682421,202.9067706
11140-14,서울특별시 중구,시도,서울특별시 중구,소월로,0.2,37.55531191,126.9768024,37.5539861,126.9789735,-0.00217115,0.001325815,148.5896205
11215-1,서울특별시 광진구,구도,서울특별시 광진구,워커힐로,1,37.5509993,127.1009283,37.55341622,127.0988395,0.002088857,-0.002416916,310.8357164
11215-2,서울특별시 광진구,시도,서울특별시 광진구,아차산로,2,37.55862257,127.1116912,37.56173594,127.1147217,-0.003030518,-0.00311337,225.7726096
11215-3,서울특별시 광진구,시도,서울특별시 광진구,천호대로,1,37.54697921,127.099562,37.54824148,127.0961291,0.0034329,-0.00126227,339.8116327
11230-1,서울특별시 동대문구,구도,서울특별시 동대문구,장안벚꽃로,0.1,37.58085163,127.0751805,37.57868414,127.0762972,-0.0011167,0.00216749,117.2577149
11230-2,서울특별시 동대문구,구도,서울특별시 동대문구,장안벚꽃로,0.05,37.56126225,127.0711586,37.55992342,127.0700215,0.0011371,0.00133883,49.65796803
11230-3,서울특별시 동대문구,구도,서울특별시 동대문구,휘경로,0.09,37.59580681,127.0616151,37.59467589,127.0640903,-0.0024752,0.00113092,155.4443177
11230-4,서울특별시 동대문구,구도,서울특별시 동대문구,한천로 58길,0.17,37.60481161,127.0676556,37.60486059,127.0698241,-0.0021685,-0.000049,181.2939222
11230-5,서울특별시 동대문구,구도,서울특별시 동대문구,이문로42길,0.05,37.600516,127.067402,37.600833,127.066175,0.001227,-0.000317,345.5141721
11230-6,서울특별시 동대문구,구도,서울특별시 동대문구,고산자로30길,0.04,37.574832,127.04356,37.574657,127.043927,-0.000367,0.000175,154.5063622
11290-1,서울특별시 성북구,구도,서울특별시 성북구,성북로31길,0.85,37.5945697,126.9909663,37.59120866,126.9901481,0.0008182,0.00336104,76.31823609
11290-2,서울특별시 성북구,구도,서울특별시 성북구,정릉로10길,0.9,37.60641251,126.9989458,37.60258479,126.9980354,0.0009104,0.00382772,76.62112898
11290-3,서울특별시 성북구,시도,서울특별시 성북구,북악산로,2.2,37.60120274,127.0123705,37.60500302,126.987735,0.0246355,-0.00380028,351.2306581
11290-4,서울특별시 성북구,구도,서울특별시 성북구,성북로4길,1.2,37.58942931,127.0054183,37.59644993,127.0068104,-0.0013921,-0.00702062,258.7844531
11290-5,서울특별시 성북구,시도,서울특별시 성북구,삼선교로,0.9,37.58828123,127.0105789,37.58906351,127.0131067,-0.0025278,-0.00078228,197.1957635
11290-6,서울특별시 성북구,시도,서울특별시 성북구,삼양로,0.8,37.60467951,127.0250401,37.60759494,127.0238199,0.0012202,-0.00291543,292.7108578
11290-7,서울특별시 성북구,시도,서울특별시 성북구,동소문로,0.6,37.60047359,127.0228207,37.60143429,127.0232906,-0.0004699,-0.0009607,243.9357021
11290-8,서울특별시 성북구,시도,서울특별시 성북구,아리랑로,1.2,37.59819945,127.0146841,37.60267966,127.0137204,0.0009637,-0.00448021,282.13944
11290-9,서울특별시 성북구,시도,서울특별시 성북구,정릉로,0.9,37.60896981,126.9994158,37.61198621,126.9913164,0.0080994,-0.0030164,339.5735297
11290-10,서울특별시 성북구,시도,서울특별시 성북구,솔샘로,0.5,37.61305734,127.0074147,37.61694957,127.0081227,-0.000708,-0.00389223,259.6905679
11290-11,서울특별시 성북구,구도,서울특별시 성북구,보국문로,1.2,37.61551116,127.0055225,37.61794825,126.9983351,0.0071874,-0.00243709,341.2693272
11290-12,서울특별시 성북구,시도,서울특별시 성북구,고려대로,0.75,37.58628208,127.0239649,37.58614702,127.0290549,-0.00509,0.00013506,178.4800486
11290-13,서울특별시 성북구,구도,서울특별시 성북구,고려대로17길,0.7,37.58648072,127.0251685,37.59462639,127.0248421,0.0003264,-0.00814567,272.2946354
11290-14,서울특별시 성북구,시도,서울특별시 성북구,돌곶이로,0.5,37.61415619,127.053378,37.61256471,127.0550071,-0.0016291,0.00159148,135.6692488
11305-2,서울특별시 강북구,시도,서울특별시 강북구,오현로,1.2,37.62198116,127.0376462,37.62518054,127.0372083,0.000437937,-0.003199382,277.7943145
11350-1,서울특별시 노원구,구도,서울특별시 노원구,마들로5가길,0.12,37.639637,127.053825,37.640571,127.053834,-0.000009,-0.000934,269.4479164
11350-5,서울특별시 노원구,구도,서울특별시 노원구,수락산로,1.16,37.665498,127.07278,37.668829,127.060595,0.012185,-0.003331,344.7106696
11350-6,서울특별시 노원구,구도,서울특별시 노원구,중계로,0.2,37.636986,127.079766,37.637897,127.081775,-0.002009,-0.000911,204.3923641
11350-7,서울특별시 노원구,시도,서울특별시 노원구,덕릉로,0.28,37.675739,127.09036,37.677418,127.092193,-0.001833,-0.001679,222.4892081
11350-8,서울특별시 노원구,구도,서울특별시 노원구,섬밭로,0.4,37.633305,127.066691,37.629862,127.067868,-0.001177,0.003443,108.8731489
11350-9,서울특별시 노원구,시도,서울특별시 노원구,월계로,0.3,37.63102183,127.0603856,37.62936575,127.0576871,0.00269849,0.001656089,31.53783273
11350-10,서울특별시 노원구,시도,서울특별시 노원구,마들로,0.56,37.63398186,127.0604363,37.62886546,127.0639168,-0.00348055,0.005116404,124.2263834
11350-11,서울특별시 노원구,시도,서울특별시 노원구,화랑로,0.5,37.61555805,127.0685667,37.61410904,127.0628817,0.005684995,0.001449015,14.29931712
11380-1,서울특별시 은평구,시도,서울특별시 은평구,진흥로,1,37.60862519,126.9554846,37.61833778,126.9436412,0.011843476,-0.009712593,320.6455188
11380-2,서울특별시 은평구,구도,서울특별시 은평구,은평터널로,0.7,37.59568079,126.9088436,37.59261232,126.9069332,0.001910322,0.003068468,58.09503757
11380-3,서울특별시 은평구,시도,서울특별시 은평구,서오릉로,0.5,37.6193629,126.9054404,37.61723876,126.9067227,-0.00128226,0.002124139,121.1177502
11380-4,서울특별시 은평구,시도,서울특별시 은평구,가좌로,0.5,37.58615788,126.9221472,37.58933407,126.9172071,0.004940165,-0.003176189,327.2617517
11380-5,서울특별시 은평구,시도,서울특별시 은평구,증산로,0.3,37.57889704,126.9043131,37.57372874,126.8991754,0.00513766,0.005168305,45.17036666
11380-6,서울특별시 은평구,시도,서울특별시 은평구,연서로,1.6,37.64094174,126.9374463,37.65040569,126.9364113,0.001034969,-0.009463953,276.2410104
11380-7,서울특별시 은평구,구도,서울특별시 은평구,불광로,0.8,37.625476,126.929511,37.619581,126.932139,-0.002628,0.005895,114.0273858
11410-1,서울특별시 서대문구,구도,서울특별시 서대문구,세검정로4길,0.5,37.59358554,126.9501936,37.59055433,126.953298,-0.003104449,0.003031219,135.6837972
11410-2,서울특별시 서대문구,구도,서울특별시 서대문구,백련사길,0.9,37.58038073,126.9333565,37.58590243,126.9271745,0.006182036,-0.005521698,318.229271
11410-3,서울특별시 서대문구,구도,서울특별시 서대문구,독립문공원길,0.3,37.57135823,126.9583185,37.57275622,126.9561156,0.002202864,-0.001397983,327.5999509
11410-4,서울특별시 서대문구,시도,서울특별시 서대문구,성산로,0.6,37.56460798,126.9290881,37.56460833,126.9291648,-0.0000767,-0.000000354,180.2645797
11410-5,서울특별시 서대문구,구도,서울특별시 서대문구,모래내로,1,37.58282394,126.9375302,37.58606218,126.9467569,-0.009226712,-0.003238237,199.3392017
11410-6,서울특별시 서대문구,시도,서울특별시 서대문구,증가로,0.9,37.57511423,126.9266907,37.56875932,126.9320342,-0.005343497,0.006354916,130.058623
11440-1,서울특별시 마포구,시도,서울특별시 마포구,월드컵북로,0.28,37.5682676,126.9057509,37.5687512,126.9048712,0.0008797,-0.0004836,331.2009587
11440-2,서울특별시 마포구,시도,서울특별시 마포구,모래내로,0.24,37.5660655,126.914043,37.5667649,126.9201432,-0.0061002,-0.0006994,186.5405157
11440-3,서울특별시 마포구,시도,서울특별시 마포구,만리재로,1.33,37.5432242,126.9493873,37.545133,126.951574,-0.0021867,-0.0019088,221.1181474
11440-4,서울특별시 마포구,시도,서울특별시 마포구,백범로,0.5,37.5432242,126.9493873,37.5417828,126.9562413,-0.006854,0.0014414,168.1237287
11440-5,서울특별시 마포구,시도,서울특별시 마포구,백범로,0.3,37.5564379,126.9355119,37.551267,126.937676,-0.0021641,0.0051709,112.7100489
11440-6,서울특별시 마포구,시도,서울특별시 마포구,성산로,0.27,37.5603997,126.8953108,37.561813,126.900251,-0.0049402,-0.0014133,195.9648478
11440-7,서울특별시 마포구,시도,서울특별시 마포구,토정로,0.04,37.545782,126.910665,37.545722,126.911619,-0.000954,0.00006,176.4012319
11440-8,서울특별시 마포구,시도,서울특별시 마포구,모래내로,0.18,37.567144,126.915047,37.569291,126.917605,-0.002558,-0.002147,220.007664
11440-9,서울특별시 마포구,시도,서울특별시 마포구,증산로,0.7,37.578668,126.904177,37.574671,126.899991,0.004186,0.003997,43.67689388
11500-5,서울특별시 강서구,구도,서울특별시 강서구,등촌로13길,0.68,37.54006841,126.8580301,37.53557895,126.8632817,-0.005251513,0.004489459,139.4732438
11500-6,서울특별시 강서구,구도,서울특별시 강서구,화곡로58길,0.62,37.55309857,126.8509817,37.5508949,126.8573928,-0.006411129,0.002203665,161.0308739
11500-7,서울특별시 강서구,구도,서울특별시 강서구,등촌로51길,0.62,37.55093526,126.8572981,37.54883225,126.8632665,-0.00596848,0.002103019,160.5898803
11500-8,서울특별시 강서구,구도,서울특별시 강서구,초록마을로,1.8,37.5356447,126.845401,37.54515851,126.8447037,0.000697353,-0.009513814,274.1922268
11500-9,서울특별시 강서구,구도,서울특별시 강서구,등촌로13아길,0.51,37.53793446,126.8584592,37.5361483,126.8530069,0.005452233,0.001786163,18.13890089
11500-10,서울특별시 강서구,구도,서울특별시 강서구,등촌로13자길,0.5,37.53883164,126.8575775,37.53586355,126.8537269,0.003850573,0.002968082,37.62560316
11500-11,서울특별시 강서구,구도,서울특별시 강서구,강서로26길,0.35,37.5407466,126.8457364,37.53921357,126.8423577,0.003378667,0.001533029,24.4055967
11500-12,서울특별시 강서구,구도,서울특별시 강서구,강서로29길,0.47,37.53796167,126.8369356,37.54011762,126.8413561,-0.004420512,-0.002155949,205.9991758
11500-13,서울특별시 강서구,구도,서울특별시 강서구,까치산로18다길,0.33,37.54662801,126.850842,37.54851493,126.8536753,-0.002833324,-0.001886917,213.66254
11530-1,서울특별시 구로구,구도,서울특별시 구로구,고척로,1.1,37.5015085,126.8450726,37.494927,126.841093,0.0039796,0.0065815,58.84013213
11530-2,서울특별시 구로구,구도,서울특별시 구로구,고척로51길,0.1,37.507222,126.849344,37.5074041,126.8494368,-0.0000928,-0.0001821,242.9961495
11530-3,서울특별시 구로구,구도,서울특별시 구로구,고척로52길,0.13,37.504411,126.8562744,37.5048431,126.856053,0.0002214,-0.0004321,297.1297573
11530-4,서울특별시 구로구,시도,서울특별시 구로구,가마산로,0.31,37.48900164,126.8808575,37.4866268,126.8795642,0.0012933,0.00237484,61.42799337
11530-5,서울특별시 구로구,시도,서울특별시 구로구,구로중앙로,0.25,37.49975091,126.8838871,37.50255529,126.8803159,0.0035712,-0.00280438,321.85828
11530-6,서울특별시 구로구,구도,서울특별시 구로구,오류로,0.18,37.4951168,126.8392187,37.492895,126.8405476,-0.0013289,0.0022218,120.8844306
11530-7,서울특별시 구로구,구도,서울특별시 구로구,구로중앙로,0.18,37.49713504,126.8876825,37.49849935,126.8863594,0.0013231,-0.00136431,314.1214686
11530-8,서울특별시 구로구,구도,서울특별시 구로구,구로중앙로,0.13,37.49894537,126.885538,37.49988535,126.8840888,0.0014492,-0.00093998,327.0317543
11530-9,서울특별시 구로구,시도,서울특별시 구로구,안양천로,0.41,37.49793375,126.8680255,37.50202791,126.8691749,-0.0011494,-0.00409416,254.318373
11530-10,서울특별시 구로구,시도,서울특별시 구로구,공원로,0.28,37.504661,126.8873467,37.50682498,126.8858855,0.0014612,-0.00216398,304.0286893
11530-11,서울특별시 구로구,시도,서울특별시 구로구,가마산로,0.4,37.49228732,126.8822785,37.49299505,126.8829885,-0.00071,-0.00070773,224.9082609
11530-12,서울특별시 구로구,시도,서울특별시 구로구,개봉로,0.33,37.49300647,126.8560421,37.49652732,126.8564015,-0.0003594,-0.00352085,264.1715708
11530-13,서울특별시 구로구,시도,서울특별시 구로구,오리로,0.42,37.49070762,126.8331915,37.4940332,126.8310659,0.0021256,-0.00332558,302.5853593
11545-1,서울특별시 금천구,시도,서울특별시 금천구,금하로(벽산5단지),0.6,37.450003,126.914584,37.449936,126.920707,-0.006123,0.000067,179.3730746
11545-2,서울특별시 금천구,시도,서울특별시 금천구,탑골로(벽산3단지),0.5,37.453339,126.917344,37.452483,126.920632,-0.003288,0.000856,165.4075043
11545-3,서울특별시 금천구,구도,서울특별시 금천구,독산로54길(산기슭도로),0.2,37.469766,126.906695,37.46841,126.90714,-0.000445,0.001356,108.1683406
11545-4,서울특별시 금천구,구도,서울특별시 금천구,금하로30길(금동초교),0.3,37.449989,126.914665,37.448309,126.916254,-0.001589,0.00168,133.4054543
11545-5,서울특별시 금천구,구도,서울특별시 금천구,산기슭공원 옆,0.2,37.46264,126.907012,37.46397,126.906744,0.000268,-0.00133,281.3927537
11545-6,서울특별시 금천구,구도,서울특별시 금천구,벽산5단지 ~ 호암로,0.3,37.449876,126.920938,37.44834,126.920688,0.00025,0.001536,80.75557744
11560-1,서울특별시 영등포구,구도,서울특별시 영등포구,가마산로79길,0.4,37.504529,126.915907,37.506914,126.917486,-0.001579,-0.002385,236.4932695
11560-2,서울특별시 영등포구,구도,서울특별시 영등포구,신길로42길,0.3,37.507512,126.912617,37.508456,126.910968,0.001649,-0.000944,330.2102366
11560-3,서울특별시 영등포구,구도,서울특별시 영등포구,도영로22길,0.2,37.510105,126.901846,37.511969,126.900655,0.001191,-0.001864,302.5764824
11560-4,서울특별시 영등포구,시도,서울특별시 영등포구,가마산로,0.7,37.50489773,126.9138908,37.50410932,126.9174792,-0.003588383,0.000788405,167.6084091
11560-5,서울특별시 영등포구,시도,서울특별시 영등포구,도림고가차도,0.4,37.51297,126.89732,37.50942,126.89942,-0.0021,0.00355,120.606407
11590-1,서울특별시 동작구,구도,서울특별시 동작구,매봉로6길,0.4,37.50812316,126.9515991,37.50981306,126.9544959,-0.002896728,-0.001689898,210.2585047
11590-2,서울특별시 동작구,구도,서울특별시 동작구,노량진로17길,0.5,37.5136678,126.9469038,37.51533781,126.9442637,0.00264014,-0.001670014,327.6847024
11590-3,서울특별시 동작구,구도,서울특별시 동작구,만양로 고개,0.3,37.50885952,126.9466197,37.50626226,126.9477206,-0.00110096,0.002597257,112.9717654
11590-6,서울특별시 동작구,구도,서울특별시 동작구,서달로,0.4,37.50421887,126.9534547,37.50654644,126.9556177,-0.002162998,-0.002327571,227.0988632
11590-7,서울특별시 동작구,구도,서울특별시 동작구,매봉로,0.3,37.51046465,126.9509294,37.50800031,126.9516207,-0.000691267,0.002464337,105.6692556
11590-11,서울특별시 동작구,구도,서울특별시 동작구,솔밭로,0.32,37.48226205,126.9668584,37.48045715,126.9639065,0.002951917,0.001804899,31.4429787
11590-12,서울특별시 동작구,시도,서울특별시 동작구,사당로,0.7,37.48933913,126.9652708,37.49488207,126.9610773,0.004193483,-0.005542946,307.1091145
11590-14,서울특별시 동작구,구도,서울특별시 동작구,만양로,0.06,37.50807149,126.9471584,37.50772452,126.9482506,-0.001092211,0.000346967,162.3763246
11590-15,서울특별시 동작구,구도,서울특별시 동작구,양녕로,0.35,37.50140065,126.945393,37.49928377,126.9440023,0.001390696,0.002116886,56.69694051
11590-17,서울특별시 동작구,구도,서울특별시 동작구,흑석로,0.3,37.50421887,126.9534547,37.50654644,126.9556177,-0.002162998,-0.002327571,227.0988632
11620-1,서울특별시 관악구,시도,서울특별시 관악구,호암로,1.44,37.45890879,126.9223481,37.46205096,126.9318387,-0.009490579,-0.003142166,198.3188143
11620-2,서울특별시 관악구,시도,서울특별시 관악구,난곡로,0.84,37.46124501,126.9247287,37.46308734,126.9190376,0.005691067,-0.001842329,342.0620473
11650-1,서울특별시 서초구,구도,서울특별시 서초구,삼풍아파트 앞 고갯길,0.1,37.500944,127.015404,37.497358,127.01856,-0.003156,0.003586,131.3506585
11650-2,서울특별시 서초구,시도,서울특별시 서초구,남부터미널역 앞,0.5,37.4845755,127.0146164,37.488368,127.014616,0.0000004,-0.0037925,270.0060431
11650-3,서울특별시 서초구,시도,서울특별시 서초구,대우효령아파트 앞,0.5,37.479818,126.992686,37.480456,126.994521,-0.001835,-0.000638,199.1717414
11650-4,서울특별시 서초구,시도,서울특별시 서초구,서초대로,1,37.487594,126.993427,37.4853604,126.9800171,0.0134099,0.0022336,9.456571359
11650-5,서울특별시 서초구,시도,서울특별시 서초구,강남대로~헌릉로,0.48,37.463574,127.045299,37.467674,127.040825,0.004474,-0.0041,317.4976727
11650-6,서울특별시 서초구,시도,서울특별시 서초구,사평대로,0.63,37.500935,127.000541,37.503105,127.006024,-0.005483,-0.00217,201.5921108
11650-7,서울특별시 서초구,시도,서울특별시 서초구,남부순환로,0.34,37.484813,127.036332,37.484119,127.031525,0.004807,0.000694,8.2151876
11650-8,서울특별시 서초구,구도,서울특별시 서초구,서초대로64길,0.5,37.495173,127.020608,37.49078,127.022303,-0.001695,0.004393,111.0986647
11650-9,서울특별시 서초구,구도,서울특별시 서초구,사평대로55길,0.18,37.50892,127.020605,37.507515,127.021274,-0.000669,0.001405,115.4617621
11650-10,서울특별시 서초구,구도,서울특별시 서초구,효령로33길,0.18,37.484175,126.99659,37.48498,126.998737,-0.002147,-0.000805,200.5531206
11650-11,서울특별시 서초구,구도,서울특별시 서초구,서초대로65길,0.16,37.497252,127.018683,37.49735,127.020416,-0.001733,-0.000098,183.2365912
11650-12,서울특별시 서초구,구도,서울특별시 서초구,원터길,0.18,37.443027,127.05598,37.444329,127.056916,-0.000936,-0.001302,234.2878684
11650-13,서울특별시 서초구,구도,서울특별시 서초구,명달로1길,0.19,37.478525,127.004131,37.479202,127.006086,-0.001955,-0.000677,199.1005378
11740-3,서울특별시 강동구,구도,서울특별시 강동구,구천면로,0.4,37.5491,127.1562,37.5503,127.1607,-0.0045,-0.0012,194.9314172
26110-1,부산광역시 중구,지방도,부산광역시 중구,중구로,0.7,35.10541168,129.0314366,35.112134,129.0339967,-0.002560177,-0.006722321,249.1508064
26110-2,부산광역시 중구,지방도,부산광역시 중구,망양로,0.6,35.11590012,129.0337129,35.11174361,129.0294478,0.004265124,0.004156512,44.26111449
26140-1,부산광역시 서구,지방도,부산광역시 서구,감천로,1.1,35.0792693,129.0183075,35.08208387,129.0115145,0.006792982,-0.002814575,337.4940232
26140-2,부산광역시 서구,지방도,부산광역시 서구,꽃마을로,0.8,35.12185087,129.0094624,35.12731682,129.0070044,0.002457918,-0.005465952,294.2123939
26140-3,부산광역시 서구,지방도,부산광역시 서구,까치고개로,1.3,35.10019688,129.0159539,35.10427595,129.0111812,0.004772712,-0.00407907,319.4806431
26140-4,부산광역시 서구,지방도,부산광역시 서구,대티로,1,35.11149817,129.0121756,35.10744383,129.0084412,0.003734396,0.004054337,47.35224306
26140-5,부산광역시 서구,지방도,부산광역시 서구,천해로,0.6,35.08247322,129.0214986,35.08314032,129.0173883,0.004110364,-0.000667099,350.7814498
26140-6,부산광역시 서구,지방도,부산광역시 서구,망양로,0.6,35.11730803,129.0195093,35.11431665,129.0259669,-0.006457633,0.002991385,155.1448999
26170-5,부산광역시 동구,지방도,부산광역시 동구,안창로,1,35.14441164,129.047929,35.14380997,129.039339,0.008590037,0.000601669,4.006608077
26200-1,부산광역시 영도구,지방도,부산광역시 영도구,남항시장길,0.25,35.08769876,129.0440055,35.08735995,129.0464441,-0.002438596,0.00033881,172.0901586
26200-2,부산광역시 영도구,지방도,부산광역시 영도구,봉래언덕길,0.3,35.09404123,129.0475511,35.09293081,129.0501613,-0.00261017,0.001110416,156.9541641
26200-3,부산광역시 영도구,지방도,부산광역시 영도구,청학서로,0.3,35.09745257,129.0594822,35.09624104,129.0568539,0.00262833,0.001211537,24.74749103
26200-4,부산광역시 영도구,지방도,부산광역시 영도구,청학로,0.48,35.09637679,129.0612265,35.09261745,129.0596813,0.001545195,0.003759343,67.65596588
26200-5,부산광역시 영도구,지방도,부산광역시 영도구,청학동로,0.85,35.09427131,129.0644829,35.08894007,129.0595722,0.004910727,0.005331238,47.35111226
26200-6,부산광역시 영도구,지방도,부산광역시 영도구,일산봉로,0.9,35.09029717,129.065564,35.08666576,129.0648839,0.000680161,0.003631402,79.39142752
26200-7,부산광역시 영도구,지방도,부산광역시 영도구,동삼남로,0.43,35.07738466,129.0704869,35.07719379,129.0659317,0.004555207,0.000190865,2.399312458
26200-8,부산광역시 영도구,지방도,부산광역시 영도구,와치로,0.35,35.07337335,129.0731164,35.07262918,129.0745997,-0.001483245,0.000744166,153.3564058
26200-9,부산광역시 영도구,지방도,부산광역시 영도구,상리로,1.2,35.08621827,129.0719635,35.08337616,129.0630597,0.00890384,0.002842107,17.70309249
26200-10,부산광역시 영도구,지방도,부산광역시 영도구,웃서발로,0.3,35.07844759,129.0735359,35.07902214,129.0704143,0.003121513,-0.000574556,349.5706875
26230-1,부산광역시 부산진구,지방도,부산광역시 부산진구,진남로,0.7,35.17192,129.07458,35.1671,129.06945,0.00513,0.00482,43.21548261
26230-2,부산광역시 부산진구,지방도,부산광역시 부산진구,진남로,1.4,35.16696,129.06946,35.15587,129.07207,-0.00261,0.01109,103.2433995
26230-3,부산광역시 부산진구,지방도,부산광역시 부산진구,엄광로,1.3,35.15452,129.03897,35.15189,129.04823,-0.00926,0.00263,164.1445375
26230-4,부산광역시 부산진구,지방도,부산광역시 부산진구,백양관문로,1.5,35.15947,129.03118,35.17174,129.02459,0.00659,-0.01227,298.239459
26230-5,부산광역시 부산진구,지방도,부산광역시 부산진구,복지로,1.1,35.15288,129.02016,35.14501,129.02017,-0.00001,0.00787,90.07280273
