졸음쉼터명,시도명,시군구명,도로종류,도로노선명,도로노선번호,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,총연장,주차면수,화장실유무,방범용CCTV수,기타편의시설,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
봉산,경상북도,김천시,고속국도,경부선,1,서울기점 + 부산종점,,경상북도 김천시 봉산면 태화리 341,36.15643219,128.02568,,6,Y,,,한국도로공사 대구경상북도본부,053-714-6000,2023-06-30,B500004,한국도로공사
봉산,경상북도,김천시,고속국도,경부선,1,부산기점 + 서울종점,,경상북도 김천시 봉산면 태화리 989-4,36.15651708,128.0264901,,6,Y,,,한국도로공사 대구경상북도본부,053-714-6000,2023-06-30,B500004,한국도로공사
대신,경상북도,김천시,고속국도,경부선,1,서울기점 + 부산종점,,경상북도 김천시 아포읍 대신리 1123-3,36.15251095,128.1912392,,6,Y,,,한국도로공사 대구경상북도본부,053-714-6000,2023-06-30,B500004,한국도로공사
대신,경상북도,김천시,고속국도,경부선,1,부산기점 + 서울종점,,경상북도 김천시 아포읍 대신리 1067-1,36.15281944,128.1907565,,8,Y,,,한국도로공사 대구경상북도본부,053-714-6000,2023-06-30,B500004,한국도로공사
선기,경상북도,구미시,고속국도,경부선,1,서울기점 + 부산종점,,경상북도 구미시 도량동 472-4,36.13630671,128.3161787,,15,Y,,,한국도로공사 대구경상북도본부,053-714-6000,2023-06-30,B500004,한국도로공사
선기,경상북도,구미시,고속국도,경부선,1,부산기점 + 서울종점,,경상북도 구미시 도량동 333-2,36.13627142,128.3165002,,17,Y,,,한국도로공사 대구경상북도본부,053-714-6000,2023-06-30,B500004,한국도로공사
석적,경상북도,칠곡군,고속국도,경부선,1,부산기점 + 서울종점,,경상북도 칠곡군 석적읍 포남리 587-3,36.05163274,128.4080556,,11,Y,,,한국도로공사 대구경상북도본부,053-714-6000,2023-06-30,B500004,한국도로공사
지천,경상북도,칠곡군,고속국도,경부선,1,서울기점 + 부산종점,,경상북도 칠곡군 지천면 영오리 753-1,35.92212137,128.4844738,,14,Y,,,한국도로공사 대구경상북도본부,053-714-6000,2023-06-30,B500004,한국도로공사
검단,대구광역시,북구,고속국도,경부선,1,서울기점 + 부산종점,,대구광역시 북구 검단동 543-2,35.91491799,128.6134722,,44,Y,,,한국도로공사 대구경상북도본부,053-714-6000,2023-06-30,B500004,한국도로공사
검단,대구광역시,북구,고속국도,경부선,1,부산기점 + 서울종점,,대구광역시 북구 검단동 376-12,35.91573946,128.6144513,,26,Y,,,한국도로공사 대구경상북도본부,053-714-6000,2023-06-30,B500004,한국도로공사
북안,경상북도,영천시,고속국도,경부선,1,서울기점 + 부산종점,,경상북도 영천시 북안면 반정리 289,35.924622,128.9980117,,15,Y,,,한국도로공사 대구경상북도본부,053-714-6000,2023-06-30,B500004,한국도로공사
북안,경상북도,영천시,고속국도,경부선,1,부산기점 + 서울종점,,경상북도 영천시 북안면 반정리 294-1,35.9246295,128.999844,,15,Y,,,한국도로공사 대구경상북도본부,053-714-6000,2023-06-30,B500004,한국도로공사
내남,경상북도,경주시,고속국도,경부선,1,부산기점 + 서울종점,,경상북도 경주시 내남면 이조리 484-3,35.75225939,129.194721,,16,Y,,,한국도로공사 부산경상남도본부,055-711-6000,2023-06-30,B500004,한국도로공사
언양,울산광역시,울주군,고속국도,경부선,1,서울기점 + 부산종점,,울산광역시 울주군 언양읍 반곡리 산50-4,35.59837007,129.140183,,16,Y,,,한국도로공사 부산경상남도본부,055-711-6000,2023-06-30,B500004,한국도로공사
삼남,울산광역시,울주군,고속국도,경부선,1,부산기점 + 서울종점,,울산광역시 울주군 삼남면 교동리 602-1,35.545332,129.118872,,33,Y,,,한국도로공사 부산경상남도본부,055-711-6000,2023-06-30,B500004,한국도로공사
양산,경상남도,양산시,고속국도,경부선,1,서울기점 + 부산종점,,경상남도 양산시 중부동 189-1,35.34312987,129.0428034,,8,Y,,,한국도로공사 부산경상남도본부,055-711-6000,2023-06-30,B500004,한국도로공사
양산,경상남도,양산시,고속국도,경부선,1,부산기점 + 서울종점,,경상남도 양산시 중부동 119-1,35.34235591,129.0421478,,19,Y,,,한국도로공사 부산경상남도본부,055-711-6000,2023-06-30,B500004,한국도로공사
