0,1,2,3,4,5,6,7,8
57,중구,테크노상가,건물형,"중구 마장로 1가길17(신당동 213-51,53)",인정,2232-4821~2,"4,405",312
58,중구,청계5가쇼핑센터,지하도상가,중구 동호로 390-3(방산동 4-11),인정,070-7760-1207,"1,933",44
59,중구,청계천공구상가,상점가,중구 청계천로 124(입정동 258 동명빌딩 5층),상점가,2275-4071,"9,329",175
60,중구,대림상가,건물형,중구 을지로 157(을지로4가 9-6),등록,2277-6163,"10,956",361
61,중구,백학시장,상점가,중구 퇴계로 86길 22일대(신당동 132-32일대),상점가,2235-9005,"5,129",80
62,중구,신중앙시장,골목형,중구 퇴계로85길 36(황학동 442번지 일대),인정,2232-9559,"9,137",107
63,중구,황학시장,골목형,중구 퇴계로87길 일대(황학동),인정,2235-3040,"15,225",107
64,중구,team204 (팀204),건물형,중구 마장로 30(중구 신당동 204-48),인정,2232-1604,"5,880",122
65,중구,청계상가,건물형,중구 청계천로 160(중구 산림동 207-1),인정,2279-6513,"5817(1,370)",180
66,중구,황학동주방가구거리 상점가,상점가,중구 마장로 64~난계로 189 일대(중구 흥인동 2-18~황학동 1100-1 일대),상점가,2236-4002,"27,603",139
67,중구,아트프라자,건물형,중구 신당동 213-67,인정,2236-1768,"6,828",328
68,중구,신당 미래유산 먹거리 골목형상점가,골목형,다산로 221 일대,골목형상점가,2253-1466,"27,603",134
69,중구,동화동 골목형상점가,골목형,다산로 42나길 46일대,골목형상점가,2135-1766,"12,513",70
70,중구,필동 골목형상점가,골목형,중구 필동로 19 일대,골목형상점가,6407-4297,"5,063",24
71,중구,충무로 골목형상점가,골목형,중구 충무로2길 27-1 외 68필지,골목형상점가,"12,705",57,
72,중구,약수시장 골목형상점가,골목형,중구 동호로7길 ~ 다산로10로길 일대,골목형상점가,2233-0755,"43,936",142
73,중구,다산마을상가거리 골목형상점가,골목형,중구 동호로11길 19~동호로11나길 6 일대(중구 신당동 361-42~신당동 354-11 일대),골목형상점가,"6,576",100,
74,중구,장충남소영길 골목형상점가,골목형,중구 동호로24길 27-3 ~ 장충단로7길 32 일대,골목형상점가,2261-5579,"16,974",146
75,중구,충정로56출구 골목형상점가,골목형,중구 서소문로12 일대,골목형상점가,313-5560,"5,077",40
76,중구,명동남산골 골목형상점가,골목형,중구 퇴계로20길 18일대(중구 남산동2가 10-1 ~ 남산동2가 29-6 일대),골목형상점가,"5,566",47,
77,중구,신당오길 골목형상점가,골목형,중구 퇴계로 88길21 일대,골목형상점가,"6,890",99,
소계,용산구,8,575,,,,,
78,용산구,이태원시장,건물형,용산구 이태원로14길 6 (이태원동 56-9),등록,794-5682,"4,484",69
79,용산구,보광시장,건물형,용산구 보광로 30 (보광동 260-8),등록,749-6464,"3,352",10
80,용산구,만리시장,건물형,용산구 효창원로 270 (서계동 260-1),등록,714-0151,"7,682",33
81,용산구,후암시장,골목형,용산구 한강대로104길 77(후암동 103),인정,754-5114,"1,141",42
82,용산구,용산용문시장,골목형,용산구 효창원로 40길 13 (용문동 41-44),인정,3275-0883,"6,470",156
83,용산구,신흥시장,골목형,용산구 신흥로 95-9 (용산동2가 1-480),인정,754-7389,"1,600",61
84,용산구,이촌종합시장,골목형,용산구 이촌로75길 16-9 (이촌동 301-154),인정,796-6162,"5,122",107
85,용산구,한강쇼핑센터,상점가,용산구 이촌로 224(이촌동 300-27),상점가,798-0401,"5,286",97
소계,성동구,11,"1,965",,,,,
86,성동구,금남시장,골목형,"성동구 금호산2길 32, 2층(금호동3가 308)",등록,02-2252-5302,"3,356",102
87,성동구,뚝도시장,골목형,성동구 성수이로 32-15(성수동2가 335-16),등록,02-464-4426,"5,141",129
88,성동구,마장축산물시장,골목형,"마장로35길 68, 4층(마장동 439-1)",인정,02-2281-4446,"26,313",790
89,성동구,행당시장상점가,상점가,성동구 무학봉16길 20(행당동 298-11),상점가,02-2298-8522,"4,962",85
90,성동구,성동용답상가시장,골목형,성동구 용답중앙길 59(용답동 57-17),인정,02-2214-4326,"29,118",162
91,성동구,왕십리도선동상점가,상점가,"성동구 무학로2길 32, 3~4층(도선동 276)",상점가,02-2295-0088,"9,860",175
92,성동구,한양대앞상점가,상점가,성동구 마조로1길 28(행당동 19-34),상점가,02-2281-0625,"5,445",72
93,성동구,뚝섬역상점가,상점가,성동구 아차산로 2-1 뚝섬역 3번출구 옆)(성수동1가 656-121),상점가,02-466-1154,"3,576",82
94,성동구,왕십리무학봉상점가,상점가,"성동구 무학봉16길 6, 102호(하왕십리동 976-15)",상점가,02-6498-2444,"4,241",96
95,성동구,신금호역 골목형상점가,상점가,"성동구 금호로149, 지층(금호동2가 450-1)",골목형상점가,02-2234-6323,"4,366",112
96,성동구,성수역 골목형상점가,상점가,"성동구 성수일로10길 26, B309-1호(성수동2가 284-62)",골목형상점가,"7,596",160,
소계,광진구,15,716,,,,,
97,광진구,조양시장,건물형,광진구 아차산로30길 39 (자양동 6-20),등록,463-5611,"6,658",35
98,광진구,노룬산시장,건물형,광진구 뚝섬로 491                     (자양동 44-2),등록,463-7521,"1,503",19
99,광진구,신성시장,건물형,광진구 영화사로 12            (중곡동 79-8),등록,444-1707,"1,204",21
100,광진구,중곡제일시장,건물형,광진구 긴고랑로11길 11   (중곡동 229-5),등록,467-0254,"2,207",13
101,광진구,광성시장,건물형,광진구 능동로 47길 30  (중곡동 229-15),등록,467-5200,"2,135",20
102,광진구,자양종합시장,건물형,광진구 자양번영로6길 20 (자양동 602),등록,457-7480,"4,716",7
103,광진구,한아름시장,건물형,광진구 능동로13길 39           (화양동 10-1),등록,465-4035,"12,216",29
104,광진구,중곡제일골목시장,골목형,광진구 긴고랑로11길 14 (중곡동 221-6),인정,466-5003,"14,684",135
105,광진구,자양골목전통시장,골목형,광진구 자양로13길 59                (자양동 631-18),인정,458-1624,"16,400",130
106,광진구,노룬산골목시장,골목형,광진구 뚝섬로25길 6                 (자양동 553-60),인정,465-2103,"6,719",33
107,광진구,영동교골목시장,골목형,광진구 동일로10길 47                     (자양동 246-111),인정,463-9686,"12,744",60
108,광진구,화양제일골목시장,골목형,광진구 아차산로29길 59(화양동 34-72),인정,466-3988,"11,281",74
109,광진구,면곡골목시장,골목형,광진구 답십리로 368(중곡동 580-1),골목형상점가,495-9070,"2,145",40
110,광진구,능동로골목시장,골목형,광진구 뚝섬로30길 23              (자양동 553-219),인정,499-2422,"8,470",70
111,광진구,신성골목시장,골목형,광진구  용마산로6길 9(중곡동 79-10),무등록,446-7831,30,
소계,동대문구,21,"2,762",,,,,
112,동대문구,용두시장,건물형,동대문구 무학로 37길 12 (용두동 231-5),등록,926-3471,"1,251",12
113,동대문구,경동시장(7개 번영회),건물형,동대문구 고산자로36길 3 (제기동 1036),등록,969-7218,"15,973",396
114,동대문구,동서시장,건물형,동대문구 왕산로33길 13            (제기동 650),등록,967-8169,"1,813",59
115,동대문구,전농로터리시장,건물형,동대문구 전농로 15길 7                 (전농동 295-52),등록,2217-1231,"4,244",83
116,동대문구,동부시장,건물형,동대문구 천호대로 281             (답십리동 495-1),등록,2244-4451,"1,656",32
117,동대문구,전곡시장,건물형,동대문구 한천로 190                (장안동 108-5),등록,2245-3026,809,14
118,동대문구,이경시장,건물형,동대문구 휘경로 53                      (휘경동 151-3),등록,966-6966,"2,178",78
119,동대문구,이문제일시장,건물형,동대문구 이문로 200                     (이문동 250-1),등록,962-5992,"1,774",23
120,동대문구,청량리청과물시장,골목형,동대문구 왕산로33길 6 (제기동 635-35),인정,070-7722-1650,"11,686",101
121,동대문구,청량리종합시장,골목형,동대문구 홍릉로 1길 68-3(제기동 647-11),인정,962-7100,"8,368",185
122,동대문구,서울약령시장,골목형,동대문구 약령중앙로26 서울한방진흥센터(제기동 1082),인정,969-4793,"119,630","1,004"
123,동대문구,경동광성상가,골목형,동대문구 고산자로 464                    (제기동 913),인정,965-1601,"9,315",101
124,동대문구,청량리전통시장,골목형,동대문구 경동시장로 2길 49-3(청량리동 773),인정,3295-4555,"2,243",67
125,동대문구,답십리현대시장,골목형,동대문구 전농로4길 38 (답십리2동 14-8),인정,070-7788-4435,"2,821",70
126,동대문구,답십리시장,골목형,동대문구 답십리로 51길 4-1 (답십리동 66-17),인정,2216-9888,"4,419",52
127,동대문구,회기시장,골목형,동대문구 회기로25길 11                    (회기동 57-22),인정,964-2450,"4,990",64
128,동대문구,청량종합도매시장,골목형,동대문구 약령시로 92-2              (제기동 838-24),인정,962-5670,"3,260",44
129,동대문구,청량리수산시장,골목형,동대문구 고산자로 34길 48-1 (용신동 20-47),인정,967-4210,"7,760",110
130,동대문구,청량리농수산물시장,골목형,동대문구 경동시장로 22                (제기동 629-2),인정,963-3214,"4,533",118
131,동대문구,답십리 건축자재시장,골목형,동대문구 고미술로 49 의증빌딩 304호( 답십리1동 530-11),인정,3394-8820,"9,681",79
132,동대문구,이경재래시장,골목형,동대문구 외대역동로12길 13,무등록,70,,
소계,중랑구,17,"1,381",,,,,
133,중랑구,동원시장,건물형,중랑구 면목로74길45            (면목동 101-1),등록,439-0026,"1,766",14
134,중랑구,면목시장(카멜리아쇼핑센타),건물형,서울시 중랑구 면목로39길 11,등록,"3,978",22,
135,중랑구,중랑교종합상가,건물형,중랑구 망우로32길 23(상봉동 129-9),등록,"3,472",44,
136,중랑구,태능엔터피아,건물형,서울시 중랑구 동일로129길35,등록,02-432-8637,"7,776",42
137,중랑구,유영시장,건물형,중랑구 봉우재로70길96              (망우동 530-3),등록,491-5433,"7,154",6
138,중랑구,동성타워프라자,건물형,서울시 중랑구 봉화산로221,등록,02-3423-2975,"21,610",71
139,중랑구,신아타운,건물형,중랑구 봉화산로 194,등록,02-3422-4501,"31,129",235
140,중랑구,우림골목시장,골목형,중랑구 망우로62길 52-4,인정,02-436-3598,125,
141,중랑구,면목시장(골목형),골목형,서울시 중랑구 사가정로 50길84 (중랑구 면목7동 666-15),인정,02-496-5665,13563.61㎡,91
142,중랑구,중랑동부시장,골목형,중랑구 동일로 109길 31-5(면목2동 183-118),인정,02-437-8155,112,
143,중랑구,동원전통종합시장,골목형,서울 중랑구 상봉로11길 27-3,인정,02-2209-0220,"18,160",121
144,중랑구,사가정시장,골목형,서울특별시 중랑구 면목로44길 16(서울특별시 중랑구 면목38동 472-45),인정,02-433-8502,124,
145,중랑구,동원전통시장상점가,상점가,서울 중랑구 면목로 78길 67 101호,인정,02-435-0357,96,
146,중랑구,장미제일시장,골목형,서울시 중랑구 동일로143일 43(중화동309-1),인정,02)6348-0098,5966.12㎡,56
147,중랑구,묵1동도깨비시장,골목형,중랑구 공릉로12가길 18        (묵동 일대),무등록,34,,
148,중랑구,태능골목형상점가,골목형,중랑구 중랑역로 일대,골목형상점가,"4,528",87,
149,중랑구,상봉먹자골목형상점가,골목형,중랑구 봉우재로33길 일대,골목형상점가,"5,546",101,
소계,성북구,13,967,,,,,
150,성북구,길음시장,건물형,"성북구 동소문로 227 (길음동 535-8, 540-2)",인정,909-0926,"11,425",81
151,성북구,돈암시장,골목형,성북구 동소문로18길 18(동소문동5가 59-2 일대),인정,"13,867",102,
152,성북구,돌곶이시장,골목형,성북구 한천로73길 26(석관동 279-39 일대),인정,070-8952-5598,"7,150",74
153,성북구,장위전통시장,골목형,성북구 장위로38길 46-1(장위동)  (장위동 68-88 일대),인정,070-7799-9129,"9,599",61
154,성북구,정릉시장,골목형,성북구 보국문로11길 18-19  (정릉동)   (정릉동 400-15호 일대),인정,070-4126-0098,"9,954",114
155,성북구,정릉아리랑시장,골목형,성북구 정릉로 26가길36일대(정릉동 443-1),인정,070-4215-2931,"4,284",54
156,성북구,석관시장,건물형,성북구 돌곶이로22가길 27 (석관1동 270-1),등록,967-5571,"4,111",12
157,성북구,밤나무골시장,골목형,성북구 오패산로 79 (하월곡동 76-8 일대),무등록,13,,
158,성북구,정릉골 골목형상점가,골목형,성북구 보국문로 16길 일대,상점가,"4,953",75,
159,성북구,꿈의숲장곡 골목형상점가,골목형,성북구 돌곶이로 39길 일대,상점가,"2,616",66,
160,성북구,성북천 골목형상점가,골목형,성북구 동소문로2길 일대,상점가,"5,687",94,
161,성북구,배밭골 골목형상점가,골목형,성북구 정릉로10길 일대,상점가,"3,061",64,
162,성북구,종암북바위길 골목형상점가,골목형,성북구 종암로21길 일대,상점가,"8,763",157,
소계,강북구,19,"1,004",,,,,
163,강북구,수유시장,건물형,강북구 도봉로67길 18              (수유동 54-5),등록,989-4730,"7,219.25㎡",59
164,강북구,숭인시장,건물형,"강북구 도봉로 45                 (미아동 60-4,5,10,11)",등록,"11,203.7㎡",46,
165,강북구,강북북부시장,건물형,강북구 한천로123길 26                   (번동 413-3),등록,902-1683,"2,903.78㎡",37
166,강북구,수유중앙시장,건물형,강북구 노해로17길 21               (수유동 32-2),등록,902-1353,"4,439.75㎡",24
167,강북구,우이시장,건물형,강북구 노해로23길 68              (수유동 270-168),등록,993-0240,"2,122",7
168,강북구,수유북부시장,건물형,"강북구 삼양로91가길 19, 삼양로91길 11-12             (수유동 수유동405-5)",등록,903-5546,"2,769.39㎡",21
169,강북구,동북프라자,건물형,강북구 솔샘로 233                      (미아동 701-3),등록,989-0403980-0739,"7,077.61㎡",29
170,강북구,수유프라자,건물형,강북구 도봉로 261                   (수유동 63),등록,982-2278,"20,953.72㎡",52
171,강북구,수유전통시장(구)수유골목시장,골목형,"강북구 도봉로69길                    (수유동 53,54)일대",인정,989-4730,81,
172,강북구,수유재래시장,골목형,"강북구 도봉로71길                  (수유동 53,54)일대",인정,987-6382,114,
173,강북구,백년시장(구)강북종합전통시장,골목형,강북구 한천로144길 26                      (수유동 175-61)일대,인정,6081-7282,74,
174,강북구,장미원골목시장,골목형,"강북구 삼양로123길 9,11,13(수유동 313-1,2,8)일대",인정,900-1256,100,
175,강북구,우이골목시장,골목형,강북구 한천로162길              (수유동 수유동 270-120)일대,무등록,70,,
176,강북구,수유중앙골목시장,골목형,"강북구 노해로17길 16,24 (수유동38-18,32)일대",무등록,70,,
177,강북구,강북북부골목시장(구)번동북부골목시장,골목형,"강북구 한천로123길 27,31             (번동 411-18,93)일대",무등록,17,,
178,강북구,방천골목시장,골목형,"강북구 월계로7나길 9              (미아동1345, 698-3)일대",무등록,53,,
179,강북구,"솔샘시장(미아6,7동골목시장)",골목형,강북구 솔샘로50길 4 (미아동 1345)일대,무등록,30,,
180,강북구,삼양골목시장,골목형,강북구 솔매로 45(미아동 833-8) 일대,무등록,50,,
181,강북구,수유북부골목시장,골목형,삼양로87길 42(인수동)일대,무등록,70,,
소계,도봉구,10,880,,,,,
182,도봉구,방학동도깨비시장,골목형,도봉구 도당로85-7방학동도깨비시장고객지원센터2층,인정,954-1225,"15,243",88
183,도봉구,창동신창시장,골목형,도봉구 덕릉로59마길 18-7 (창동 582-47),인정,990-0040,"11,219",76
184,도봉구,창동골목시장,골목형,도봉구 덕릉로 54가길 17(창동 557-19),인정,900-4900,"7,325",58
185,도봉구,신도봉시장,골목형,도봉구 도당로27길 60 (도봉동 611),인정,"8,774",142,
186,도봉구,쌍문시장(쌍문역 골목시장),골목형,도봉구 도봉로113길 23(쌍문동 94-35),인정,"4,886",103,
187,도봉구,백운시장,골목형,도봉구 삼양로154길 40(쌍문동495-23),인정,991-0678,"10,267",61
188,도봉구,쌍문역둘러상점가,상점가,도봉구 도봉로113길15 1층컴미르(도봉구쌍문3동98-9),상점가,998-6635,"18,459",112
189,도봉구,오!도봉거리 상점가,상점가,도봉구 도봉로 156길 6(도봉동 623),상점가,"12,856",52,
190,도봉구,쌍리단길상점가,상점가,"서울 도봉구 도봉로114길 22,112길 19, 110나길 21, 110나길 27 (창동)",상점가,903-9995,"23,436",117
191,도봉구,창동역상점가,상점가,도봉구 마들로11가길 12(57m)도봉구 노해로69길 21(92m)도봉구 마들로11길 71(45m),상점가,070-8863-0217,"39,952",71
소계,노원구,7,531,,,,,
192,노원구,공릉동 도깨비시장,골목형,노원구 동일로 180길 53             (공릉동 561-36),인정,976-4143,"15,669",114
193,노원구,상계중앙시장,골목형,노원구 상계로27길 32(상계동 389-641 외 49필지),인정,070-4141-1116,"21,428",69
194,노원구,시영B상가,상점가,노원구 동일로 1279(중계동 503),상점가,971-7072,"4,121",75
195,노원구,시영2단지 무지개종합상가,상점가,노원구 동일로 1280(중계동 512),상점가,949-5878,"1,800",65
196,노원구,상계주공1단지(가)상가,상점가,노원구 덕릉로 459-37(상계동 767-5),상점가,933-3388,"3,015",46
197,노원구,상계역전종합상가,상점가,노원구 한글비석로 396(상계동 173-1),등록,931-4825,"14,890",120
198,노원구,상계주공15단지상가,상점가,노원구 동일로 227길 26(상계동 624),상점가,"7,857",42,
소계,은평구,12,749,,,,,
199,은평구,연서시장,건물형,"은평구통일로850(불광동 310-118 ,310-200)",등록,355-1272,"1,594",87
200,은평구,증산종합시장,건물형,은평구 증산로3길 12(증산동 184-9),등록,373-5990,"2,171",38
201,은평구,대림시장,건물형,"은평구 응암로4길20,22,24,26,26-1,26-3(응암동 754-1)",등록,302-1666,"3,223",56
202,은평구,제일시장,건물형,"은평구 대조동 14-1, 21(통일로731(대조동))",등록,352-1993,"2,293",39
203,은평구,신응암시장,골목형,은평구 응암로22길3-1(응암동427-130~113),인정,389-3330,"2,272",36
204,은평구,대조시장,골목형,"은평구 진흥로 153 (대조동 12, 26번지 일대)",인정,382-5599,"5,126",60
205,은평구,대림골목시장,골목형,은평구 응암로12길8 (응암동602-1~31번지750-1~ 695-22일대),인정,6053-3545,"1,700",71
206,은평구,양지시장,건물형,"은평구 응암로4길20,22,24,26,26-1,26-3(응암동 754-1)",등록,302-6729,"1,244",11
207,은평구,응암오거리상점가,상점가,"응암로11길, 응암로13길 일대",상점가,304-7155,"2,600",87
208,은평구,연신내상점가,상점가,은평구 통일로85길6-12                 (갈현동393-400번지 일대),상점가,070-8927-3254,"16,394",190
209,은평구,불광먹자골목 골목형상점가,상점가,은평구 통일로 66길 일대(불광1동 281-75 일대),골목형상점가,383-0112,"9,102",69
210,은평구,증산골목시장,골목형,은평구 증산로15길11,무등록,5,,
소계,서대문구,11,740,,,,,
211,서대문구,유진상가,건물형,서대문구 통일로 484(홍제동 294-46),등록,3216-9393,"6,606",59
212,서대문구,백련시장,건물형,서대문구 가재울로6길 53-87(남가좌동 345-4),등록,373-4870303-5514,"6,865",30
213,서대문구,인왕시장,건물형,서대문구 인왕시장길 18(홍제동 298),등록,394-1998,"4,321",95
214,서대문구,영천시장,골목형,서대문구 영천시장길 27(영천동 294),인정,363-5350,"2,485",71
215,서대문구,포방터시장,골목형,서대문구 포방터길 46(홍은동 9-160),인정,396-3335,"7,310",81
216,서대문구,연희사러가,건물형,서대문구 연희맛로 23(연희동 131-1),등록,"3,719",34,
217,서대문구,이대 앞 스타트업 상점가,상점가,서대문구 이화여대길 74(대현동 34-33),상점가,365-3580,"3,416",78
218,서대문구,"이화여대 3,5,7길 상점가",상점가,"서대문구 이화여대 5길 23, 1층(대현동 37-18)",상점가,"10,660",135,
219,서대문구,아현가구거리상점가,상점가,서대문구 신촌로 311 일원,상점가,"9,175",66,
220,서대문구,신촌 상인회,상점가,"서대문구 연세로5다길 40, 2층",상점가,6257-6000,"1,814",30
221,서대문구,홍제골목형상점가,상점가,서대문구 홍제동 299-12~32 일원,골목형상점가,"2,474",61,
소계,마포구,15,"1,789",,,,,
222,마포구,공덕시장,건물형,마포구 만리재로19(B동)(공덕동 256-10 ),등록,712-0076,"1,699",43
223,마포구,마포시장,건물형,마포구 마포대로6길16(C동)(공덕동 256-5)만리재로23(A동)(공덕동 256-30),등록,719-3308(A동)712-0687(C동),"1,689",78
224,마포구,동진시장,건물형,마포구 성미산로198(연남동 227-15),등록,325-9559,492,18
225,마포구,영진시장,건물형,마포구 동교로12길21(서교동 485-14),등록,336-1494,"3,761",12
226,마포구,서교시장,건물형,마포구 홍익로3길20(서교동 357-1),등록,3141-2502,"12,640",9
227,마포구,합정시장,건물형,"마포구 양화진길5(합정동, 합정아파트)(합정동 375-1)",등록,334-2425,"5,433",8
228,마포구,마포농수산물시장,건물형,마포구 월드컵로235(성산동 533-1),등록,309-0419,"17,319",136
229,마포구,망원동월드컵시장,골목형,마포구 망원로7길 일대(망원동 423-13),인정,322-6656,"5,473",50
230,마포구,망원시장,골목형,마포구 망원로8길3~70일대(망원동 486-37),인정,335-3591,"11,159",82
231,마포구,아현시장,골목형,"마포대로21길,굴레방로7길,9길일대(아현동327-19)",인정,364-3600,"18,849",148
232,마포구,용강동 상점가,상점가,토정로 315              (용강동 40-5),상점가,3272-8688,"9,242",153
233,마포구,도화동 상점가,상점가,"도화길, 새창로2길(도화동일대)",상점가,"5,650",146,
234,마포구,상암동상점가,상점가,마포구 월드컵북로44길33         (상암동 33-1),상점가,376-1623,"5,558",139
235,마포구,홍대걷고싶은거리,상점가,"마포구 어울마당로109~155일대(동교동,서교동)",상점가,325-7447,"5,135",607
236,마포구,홍대소상공인상점가,상점가,마포구 홍익로3길 일대(서교동),상점가,336-3644,"5,989",160
소계,양천구,15,957,,,,,
237,양천구,경창시장,골목형,양천구 오목로9길 31(신월2동 447-8),인정,2606-5988,"2,320",51
