"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자"
"3220000","PHMA220133220033021200003","2013-04-10","","01","영업/정상","13","영업중","","","","","02-568-2879","166.27","","","서울특별시 강남구 밤고개로1길 10, 315호 (수서동, 수서현대벤쳐빌)","06349","기쁨정원치과병원","2023-10-16 15:11:37","U","2022-10-30 23:08:00.0","치과병원","208937.760652081","442873.588039887","","","","","","","","","","","","","","","",""
"3210000","PHMA220183210034021200001","2018-06-26","","01","영업/정상","13","영업중","","","","","02-587-8875","2480.74","","서울특별시 서초구 서초동 1515번지 4호 서원빌딩","서울특별시 서초구 명달로 102, 서원빌딩 1-6층 (서초동)","06668","올바로병원","2023-12-06 10:05:51","U","2022-11-02 00:08:00.0","병원","200324.626408302","442669.649678322","","","","","","","","","","","","","","","",""
"3210000","PHMA220133210034021200001","2013-01-17","","01","영업/정상","13","영업중","","","","","0234743653","2327","","서울특별시 서초구 서초동 1657-1 서울365mc병원","서울특별시 서초구 서초중앙로 126, 서울365mc병원 지하1층, 2~13층 (서초동)","06634","365엠씨(mc)병원","2023-12-06 09:51:47","U","2022-11-02 00:08:00.0","병원","201178.653260998","443421.176493515","","","","","","","","","","","","","","","",""
"3230000","PHMA220223230034021200004","2022-12-02","","01","영업/정상","13","영업중","","","","","02-407-3375","2325.25","","서울특별시 송파구 가락동 48-3 지하2층~지상7층","서울특별시 송파구 송이로 81, 지하2~지상7층 (가락동)","05706","리워크병원","2023-10-20 09:08:39","U","2022-10-30 22:02:00.0","병원","210574.037898234","444069.184552292","","","","","","","","","","","","","","","",""
"3220000","PHMA220033220033021200003","2003-09-16","","01","영업/정상","13","영업중","","","","","02-6003-9718","","","서울특별시 강남구 논현동 63-8 나누리병원","서울특별시 강남구 언주로 731, 나누리병원 (논현동)","06048","나누리병원","2023-05-22 15:33:18","U","2022-12-04 22:04:00.0","병원","202937.146834213","446451.612982071","","","","","","","","","","","","","","","",""
"3220000","PHMA220183220033021200005","2018-09-14","","01","영업/정상","13","영업중","","","","","02-6985-4119","3609.1","","서울특별시 강남구 논현동 218-11 강남웨딩홀","서울특별시 강남구 언주로 631, 강남웨딩홀 지하2,2~6층 (논현동)","06106","강남지인병원","2023-10-11 17:24:39","U","2022-10-30 23:03:00.0","병원","203030.36156512","445624.927581211","","","","","","","","","","","","","","","",""
"3090000","PHMA220163090033021200001","2016-06-29","","01","영업/정상","13","영업중","","","","","02-2039-5099","1160.29","","서울특별시 도봉구 쌍문동 503-8 2~5층","서울특별시 도봉구 삼양로 574, 2~5층 (쌍문동)","01368","서울사랑요양병원","2023-11-06 17:44:32","U","2022-11-01 00:08:00.0","요양병원(일반요양병원)","201098.761383515","461327.62658561","","","","","","","","","","","","","","","",""
"3210000","PHMA220123210034021200001","2012-07-24","","01","영업/정상","13","영업중","","","","","0215880831","2313.2","137-888","서울특별시 서초구 양재동 20번지 7호 /양재동 20-4, 2층/양재동 20-20(지1~3층)","서울특별시 서초구 바우뫼로35길 32 (양재동)","06744","참포도나무병원","2023-12-06 09:54:16","U","2022-11-02 00:08:00.0","병원","203350.547009323","441971.940635973","","","","","","","","","","","","","","","",""
"3240000","PHMA220233240033021200002","2023-03-24","","01","영업/정상","13","영업중","","","","","02-474-8575","1718.72","","","서울특별시 강동구 천호대로 1133, 서울M타워 5,8,9,10층 (길동)","05355","강동기운찬한방병원","2023-12-22 14:25:31","U","2022-11-01 22:04:00.0","한방병원","212084.038472021","448058.444155867","","","","","","","","","","","","","","","",""
"3100000","PHMA220223100034021200001","2022-02-24","","01","영업/정상","13","영업중","","","","","1533-7585","","","","서울특별시 노원구 동일로 987, 태릉마이크로병원건물 2,5,6,7층 (공릉동)","01861","모아한방병원","2023-06-22 16:01:25","U","2022-12-05 22:04:00.0","한방병원","206551.60704052","457326.722941972","","","","","","","","","","","","","","","",""
"3220000","PHMA219993220033021200002","1999-06-21","","01","영업/정상","13","영업중","","","","","02-1577-0007","8227.67","","서울특별시 강남구 논현동 142-3 자생한방병원","서울특별시 강남구 강남대로 536, 자생한방병원 (논현동)","06110","자생한방병원","2023-12-26 15:31:59","U","2022-11-01 22:08:00.0","한방병원","201903.35","445314.635","","","","","","","","","","","","","","","",""
"3210000","PHMA220083210034021200001","2008-04-01","","01","영업/정상","13","영업중","","","","","02-2046-5201","9304.57","","서울특별시 서초구 방배동 488-6 지하4층~지상6층","서울특별시 서초구 남부순환로 2205, 지하4층~지상6층 (방배동)","06702","연세사랑병원","2023-12-28 15:43:38","U","2022-11-01 21:00:00.0","병원","199356.275577675","441326.193173286","","","","","","","","","","","","","","","",""
"3080000","PHMA220203080033021200001","2020-03-11","","01","영업/정상","13","영업중","","","","","02-986-0334","1693.45","","서울특별시 강북구 미아동 304번지 3호 지하1층, 2층~5층","서울특별시 강북구 도봉로 187, 지하1층, 2층~5층 (미아동)","01170","강북으뜸병원","2023-11-14 17:35:33","U","2022-10-31 23:06:00.0","병원","202240.855124105","458118.709572688","","","","","","","","","","","","","","","",""
"3240000","PHMA220073240033021200002","2007-04-10","","01","영업/정상","13","영업중","","","","","02-488-0020","8143.99","","서울특별시 강동구 천호동 362번지 3호 로뎀빌딩","서울특별시 강동구 올림픽로80길 31, 로뎀빌딩 (천호동)","05324","강동성모요양병원","2023-12-22 14:25:50","U","2022-11-01 22:04:00.0","요양병원(일반요양병원)","211171.467512363","449037.295175834","","","","","","","","","","","","","","","",""
"3050000","PHMA220233050034021200001","2023-03-23","","01","영업/정상","13","영업중","","","","","02-6674-7575","4912.79","","서울특별시 동대문구 신설동 76-34","서울특별시 동대문구 한빛로 12, 지하1층 ~ 4층 (신설동)","02580","더드림요양병원","2024-01-05 16:46:30","U","2023-12-01 00:07:00.0","요양병원(일반요양병원)","202132.961071614","452712.645095691","","","","","","","","","","","","","","","",""
"3080000","PHMA220203080033021200002","2020-08-28","","01","영업/정상","13","영업중","","","","","02-1670-8875","2643.3","","서울특별시 강북구 미아동 62-38 서울유병원BK빌딩","서울특별시 강북구 도봉로 77, 지하2층~지하1층, 3층~8층층 (미아동)","01205","서울유병원","2023-12-29 14:48:28","U","2022-11-01 21:01:00.0","병원","202541.070832521","457081.260634815","","","","","","","","","","","","","","","",""
"3210000","PHMA220193210034021200002","2010-08-16","","01","영업/정상","13","영업중","","","","","02-526-0820","4661.03","","서울특별시 서초구 서초동 1677번지 8호 프로비스타","서울특별시 서초구 서초대로 338, 프로비스타 지하1층 지상2~8층 (서초동)","06632","모커리한방병원","2023-12-06 10:06:50","U","2022-11-02 00:08:00.0","한방병원","201577.653343873","443623.599964173","","","","","","","","","","","","","","","",""
"3220000","PHMA219833220033021200002","1983-04-04","","01","영업/정상","13","영업중","","","","","02-2019-3114","88073.48","","서울특별시 강남구 도곡동 146-92 강남세브란스병원","서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)","06273","연세대학교의과대학 강남세브란스병원","2023-12-29 18:09:10","U","2022-11-01 21:01:00.0","종합병원","204044.915103209","443372.921666623","","","","","","","","","","","","","","","",""
"3240000","PHMA220063240033021200001","2006-02-27","","01","영업/정상","13","영업중","","","","","02-440-7114","1100.98","134-727","서울특별시 강동구 상일제1동 149번지","서울특별시 강동구 동남로 892 (상일제1동)","05278","강동경희대학교치과병원","2023-12-01 08:18:04","U","2022-11-02 00:03:00.0","치과병원","213839.356195548","450118.261707983","","","","","","","","","","","","","","","",""
"3140000","PHMA219973140033021200001","1997-12-15","","01","영업/정상","13","영업중","","","","","6200-8801","1336.9","158-857","서울특별시 양천구 신정동 907번지 12호","서울특별시 양천구 오목로 199 (신정동)","07945","목동예치과병원","2024-01-05 16:42:15","U","2023-12-01 00:07:00.0","치과병원","187522.738998577","447059.720049471","","","","","","","","","","","","","","","",""
"3200000","PHMA220143200033021200002","2014-09-05","","01","영업/정상","13","영업중","","","","","888-8866","","","서울특별시 관악구 신림동 1421번지 55호 지1층, 2~11층","서울특별시 관악구 신림로64길 11, 지1층,2~11층 (신림동, 성재빌딩)","08754","강남수요양병원","2023-03-30 14:34:51","U","2022-12-04 00:01:00.0","요양병원(일반요양병원)","193779.105067109","442553.528776558","","","","","","","","","","","","","","","",""
"3230000","PHMA220233230034021200001","2023-10-05","","01","영업/정상","13","영업중","","","","","1811-6235","2433.45","","서울특별시 송파구 풍납동 269-3 지하1~지상5층","서울특별시 송파구 토성로 20, 다보라 지하1~5층 (풍납동)","05535","동행한방병원","2023-11-20 13:15:17","U","2022-10-31 22:02:00.0","한방병원","209893.622034457","447594.355412552","","","","","","","","","","","","","","","",""
"3210000","PHMA220193210034021200001","2019-07-08","","01","영업/정상","13","영업중","","","","","02-6247-8800","1009.2","","서울특별시 서초구 방배동 795번지 22호 창생빌딩","서울특별시 서초구 방배로 223, 창생빌딩 2~7층 (방배동)","06561","참푸른병원","2023-12-06 10:05:09","U","2022-11-02 00:08:00.0","병원","199040.3746688","443425.063163148","","","","","","","","","","","","","","","",""
"3230000","PHMA220053230034021201563","2005-10-20","","01","영업/정상","13","영업중","","","","","02-2203-6100","1713.49","","","서울특별시 송파구 오금로 173 (방이동)","05641","포레힐요양병원","2023-12-15 10:22:18","U","2022-11-01 23:07:00.0","요양병원(일반요양병원)","209993.650236547","445282.210026105","","","","","","","","","","","","","","","",""
"3220000","PHMA220233220033021200002","2023-09-27","","01","영업/정상","13","영업중","","","","","02-1600-2959","2783.69","","서울특별시 강남구 논현동 94-22 카로시티Ⅲ","서울특별시 강남구 선릉로 751, 카로시티Ⅲ 지하1층, 지상1층~7층 (논현동)","06055","모두가행복한연세병원","2023-12-11 17:49:21","U","2022-11-01 23:03:00.0","병원","203388.051395369","446619.586513596","","","","","","","","","","","","","","","",""
"3230000","PHMA220143230034021200005","2014-11-17","","01","영업/정상","13","영업중","","","","","02-487-8275","","","","서울특별시 송파구 올림픽로 319, 2층 (신천동, 서울시교통회관건물)","05510","케이치과병원","2023-06-14 15:02:15","U","2022-12-05 23:06:00.0","치과병원","209243.169349927","445935.092530909","","","","","","","","","","","","","","","",""
"3210000","PHMA219983210034021200001","1998-03-26","","01","영업/정상","13","영업중","","","","","02-586-5557","","137-841","서울특별시 서초구 방배1동 896번지 1호","서울특별시 서초구 서초대로 116 (방배동)","06664","의료법인 청해의료재단 제일병원","2023-06-12 16:54:51","U","2022-12-05 23:04:00.0","병원","199494.84195609","442848.134012303","","","","","","","","","","","","","","","",""
"3210000","PHMA219893210034021200001","1989-08-14","","01","영업/정상","13","영업중","","","","","02-536-5599","","137-835","서울특별시 서초구 방배동 837번지 13호","서울특별시 서초구 방배로 186 (방배동)","06586","재단법인 동국한방병원","2023-03-30 17:21:21","U","2022-12-04 00:01:00.0","한방병원","199257.012040081","443119.872035845","","","","","","","","","","","","","","","",""
"3100000","PHMA219953100034021200001","1995-01-14","","01","영업/정상","13","영업중","","","","","02-970-8000","","","","서울특별시 노원구 한글비석로 68, 을지병원 (하계동)","01830","노원을지대학교병원","2023-07-10 11:38:13","U","2022-12-06 23:03:00.0","종합병원","206102.455977834","459346.769704089","","","","","","","","","","","","","","","",""
"3090000","PHMA220023090033021200001","2002-09-04","","01","영업/정상","13","영업중","","","","","02-955-1772","1499.64","","서울특별시 도봉구 방학동 665-6","서울특별시 도봉구 도당로 51(방학동)","01356","가화한방병원","2023-12-20 10:27:38","U","2022-11-01 22:03:00.0","한방병원","202961.829052417","462271.553341754","","","","","","","","","","","","","","","",""
"3240000","PHMA220203240033021200001","2020-08-12","","01","영업/정상","13","영업중","","","","","02-6428-7575","4871.34","","","서울특별시 강동구 양재대로 1461, SC MEDI TOWER 6-13층 (길동)","05353","서울프라임한방병원","2023-12-11 09:04:44","U","2022-11-01 23:03:00.0","한방병원","212221.342539571","448245.019790445","","","","","","","","","","","","","","","",""
"3240000","PHMA220223240033021200001","2022-12-23","","01","영업/정상","13","영업중","","","","","02-452-7075","937.46","","서울특별시 강동구 천호동 401-5 5층일부,6~7층","서울특별시 강동구 구천면로 233, 5층일부,6~7층 (천호동)","05326","경희디에스한방병원","2023-11-13 14:08:55","U","2022-10-31 23:05:00.0","한방병원","211411.31987595","448830.948477309","","","","","","","","","","","","","","","",""
"3060000","PHMA220053060034021200006","2005-03-29","","01","영업/정상","13","영업중","","","","","02-975-7500","534.44","","","서울특별시 중랑구 공릉로 76 (묵동)","02019","의료법인한국의료재단프라임병원","2024-01-05 10:45:49","U","2023-12-01 00:07:00.0","병원","206946.6753683","457213.210353545","","","","","","","","","","","","","","","",""
"3080000","PHMA220123080033021200001","2012-10-12","","01","영업/정상","13","영업중","","","","","02-6222-1000","5381.78","142-878","서울특별시 강북구 수유동 188번지 1호 광산타워","서울특별시 강북구 한천로 1083, 수유동 (수유동, 광산타워)","01070","강북우리들병원","2023-10-04 21:37:58","U","2022-10-31 00:06:00.0","병원","201930.770048587","460020.981733386","","","","","","","","","","","","","","","",""
"3240000","PHMA220183240033021200002","2018-12-14","","01","영업/정상","13","영업중","","","","","02-474-7570","5119.47","","서울특별시 강동구 천호동 421번지 4호 행복타워빌딩","서울특별시 강동구 구천면로 202, 행복타워빌딩 B2,2,3,4,6층 (천호동)","05329","강동우리들요양병원","2023-12-11 09:04:36","U","2022-11-01 23:03:00.0","요양병원(일반요양병원)","211174.771171465","448678.909948061","","","","","","","","","","","","","","","",""
"3080000","PHMA220083080033021200001","2008-04-14","","01","영업/정상","13","영업중","","","","","02-982-3114","1862.79","","서울특별시 강북구 미아동 317번지 3호 서울민병원","서울특별시 강북구 도봉로 155, 서울민병원 (미아동)","01171","민병원","2023-12-27 17:57:38","U","2022-11-01 22:09:00.0","병원","202337.148434207","457806.819119783","","","","","","","","","","","","","","","",""
"3240000","PHMA220043240033021200003","2004-09-02","","01","영업/정상","13","영업중","","","","","02-477-9661","1334.99","","서울특별시 강동구 성내동 551번지 3호 인애가한방병원","서울특별시 강동구 성내로6길 15, 인애가한방병원 (성내동)","05399","의료법인일맥의료재단 강동인애가한방병원","2023-10-30 14:17:37","U","2022-11-01 00:01:00.0","한방병원","210808.253116091","447406.530930065","","","","","","","","","","","","","","","",""
"3230000","PHMA220193230034021200002","2019-03-19","","01","영업/정상","13","영업중","","","","","02-2202-2080","","","","서울특별시 송파구 석촌호수로 61, 트리지움상가 201호 (잠실동)","05555","더바름치과병원","2023-06-14 15:03:58","U","2022-12-05 23:06:00.0","치과병원","207553.918225133","445383.338011122","","","","","","","","","","","","","","","",""
"3090000","PHMA220053090033021200002","2005-05-16","","01","영업/정상","13","영업중","","","","","02-1666-5853","7852.95","","서울특별시 도봉구 창동 749번지 10호","서울특별시 도봉구 도봉로 628 (창동, 바로선병원)","01397","바로선병원","2023-11-30 17:56:48","U","2022-11-02 00:02:00.0","병원","203650.127964614","461998.908925832","","","","","","","","","","","","","","","",""
"3100000","PHMA219893100034021200001","1989-08-14","","01","영업/정상","13","영업중","","","","","02-950-1114","41878.45","","","서울특별시 노원구 동일로 1342, 상계백병원 (상계동)","01757","인제대학교 상계백병원","2024-01-04 14:34:28","U","2023-12-01 00:06:00.0","종합병원","205488.916466022","460701.027580932","","","","","","","","","","","","","","","",""
"3140000","PHMA219933140033021200002","1993-08-20","","01","영업/정상","13","영업중","","","","","02-2693-5555","13369.43","","서울특별시 양천구 신정동 899번지 1호 홍익병원본관","서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)","07937","홍익병원","2024-01-05 16:45:09","U","2023-12-01 00:07:00.0","종합병원","187879.054915494","447370.031967944","","","","","","","","","","","","","","","",""
"3230000","PHMA220223230034021200005","2022-12-22","","01","영업/정상","13","영업중","","","","","02-1533-1755","2364.01","","","서울특별시 송파구 백제고분로 185, 2~9층 (잠실동)","05567","연세우리병원","2024-01-09 09:42:04","U","2023-11-30 23:01:00.0","병원","207649.560634469","444734.861106734","","","","","","","","","","","","","","","",""
"3230000","PHMA219893230034021201574","1989-05-20","","01","영업/정상","13","영업중","","","","","02-3010-3114","547354.77","","서울특별시 송파구 풍납동 388번지 1호 서울아산병원","서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)","05505","재단법인아산사회복지재단 서울아산병원","2024-01-12 14:14:08","U","2023-11-30 23:04:00.0","종합병원","209607.590372037","447120.577229325","","","","","","","","","","","","","","","",""
"3230000","PHMA220193230034021200003","2019-05-17","","01","영업/정상","13","영업중","","","","","02-1899-8580","1950.6","","서울특별시 송파구 방이동 109번지 3호","서울특별시 송파구 오금로 129, 지하1층~6층 (방이동)","05549","포레메디한방병원","2023-12-22 11:15:58","U","2022-11-01 22:04:00.0","한방병원","209623.287948462","445505.258585544","","","","","","","","","","","","","","","",""
"3080000","PHMA220193080033021200001","2019-10-15","","01","영업/정상","13","영업중","","","","","029879988","4773.59","","서울특별시 강북구 번동 105번지 1호","서울특별시 강북구 월계로 183 (번동)","01231","꿈의숲요양병원","2023-12-27 17:58:29","U","2022-11-01 22:09:00.0","요양병원(일반요양병원)","203895.660018622","457580.999858684","","","","","","","","","","","","","","","",""
"3180000","PHMA220113180034021200002","2011-06-30","","01","영업/정상","13","영업중","","","","","02-2678-8225","","","서울특별시 영등포구 영등포동4가 153번지 1호","서울특별시 영등포구 영신로34길 5 (영등포동4가)","07301","덕수의료재단 서울브레인병원","2023-04-04 14:46:40","U","2022-12-04 00:06:00.0","병원","191256.017169752","446425.984842846","","","","","","","","","","","","","","","",""
"3140000","PHMA220063140033021200001","2006-08-10","","01","영업/정상","13","영업중","","","","","02-1899-2221","6503.11","","서울특별시 양천구 목동 404번지 3호","서울특별시 양천구 신목로 120 (목동, 힘찬병원)","07999","힘찬병원","2024-01-05 16:44:00","U","2023-12-01 00:07:00.0","병원","189047.941727937","446975.068504489","","","","","","","","","","","","","","","",""
"3060000","PHMA219833060034021200004","1983-08-22","","01","영업/정상","13","영업중","","","","","02-437-5011","6728.43","","서울특별시 중랑구 망우동 128-29 동부제일병원","서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)","02063","의료법인풍산의료재단동부제일병원","2024-01-05 10:46:00","U","2023-12-01 00:07:00.0","종합병원","209579.612349583","455387.99689292","","","","","","","","","","","","","","","",""
"3230000","PHMA220193230034021200001","2019-02-11","","01","영업/정상","13","영업중","","","","","02-1833-7037","","","서울특별시 송파구 가락동 36번지 1호 한미사랑병원","서울특별시 송파구 중대로 191, 서울힐링요양병원 (가락동)","05704","서울힐링요양병원","2023-07-21 15:16:41","U","2022-12-06 22:03:00.0","요양병원(일반요양병원)","211044.201099765","444104.194597019","","","","","","","","","","","","","","","",""
"3070000","PHMA220223070034021200002","2022-06-27","","01","영업/정상","13","영업중","","","","","02-6953-9856","3167","","서울특별시 성북구 정릉동 674-3 그린존","서울특별시 성북구 솔샘로1길 19, 그린존 1층~6층 (정릉동)","02708","플러스요양병원","2024-01-04 09:04:34","U","2023-12-01 00:06:00.0","요양병원(일반요양병원)","200279.459422208","456219.797491714","","","","","","","","","","","","","","","",""
"3240000","PHMA220163240033021200001","2016-01-27","","01","영업/정상","13","영업중","","","","","02-1588-7740","2924.26","","","서울특별시 강동구 양재대로 1525, 명품빌딩 (천호동)","05316","올바른서울병원","2023-10-16 08:59:26","U","2022-10-30 23:08:00.0","병원","212416.582100894","448882.414137392","","","","","","","","","","","","","","","",""
"3200000","PHMA220183200033021200001","2018-10-01","","01","영업/정상","13","영업중","","","","","02-8787-119","1996.11","","서울특별시 관악구 봉천동 1673번지 17호","서울특별시 관악구 남부순환로 1867 (봉천동)","08739","장튼위튼병원","2024-01-11 15:36:08","U","2023-11-30 23:03:00.0","병원","196154.920826589","441961.873381806","","","","","","","","","","","","","","","",""
"3160000","PHMA220223160034021200001","2022-11-02","","01","영업/정상","13","영업중","","","","","02-2613-7000","3458","","","서울특별시 구로구 경인로 393-7, 일이삼전자타운 2동 6,7층 (고척동)","08227","포그니병원","2024-01-08 11:01:32","U","2023-11-30 23:00:00.0","병원","187826.698183821","443925.52468616","","","","","","","","","","","","","","","",""
"3140000","PHMA220043140033021200001","2004-06-28","","01","영업/정상","13","영업중","","","","","02-2640-2700","6931.25","158-806","서울특별시 양천구 목1동 404번지 256호 지하2층~지상6층, 8층~9층","서울특별시 양천구 오목로 351, B2~6,8~9층 (목동)","07999","의료법인해인의료재단 동신한방병원","2023-11-07 09:24:39","U","2022-11-01 00:09:00.0","한방병원","189036.361978427","446938.511587968","","","","","","","","","","","","","","","",""
"3080000","PHMA220183080033021200001","2018-03-19","","01","영업/정상","13","영업중","","","","","02-982-7080","3195.78","","서울특별시 강북구 미아동 317번지 1호 서울컨벤션웨딩홀","서울특별시 강북구 도봉로 161, 서울컨벤션웨딩홀 (미아동)","01171","강북휴요양병원","2023-12-07 14:18:42","U","2022-11-02 00:09:00.0","요양병원(일반요양병원)","202314.863753202","457867.658598331","","","","","","","","","","","","","","","",""
"3150000","PHMA220123150037021200003","20121010","","01","영업/정상","13","영업중","","","","","1670-0124","","","서울특별시 강서구 등촌동 632-6 파인블루빌딩","서울특별시 강서구 양천로 600, 파인블루빌딩 지하1층,2,7,8층 ,9,10호 (등촌동)","07552","서울고든병원","2022-12-21 16:22:37","U","2021-11-01 22:03:00.0","병원","187974.228864018","450369.165403996","","","","","","","","","","","","","","","",""
"3210000","PHMA219803210034021200001","1980-05-02","","01","영업/정상","13","영업중","","","","","0215881511","138964.24","","","서울특별시 서초구 반포대로 222 (반포동)","06591","학교법인가톨릭학원가톨릭대학교서울성모병원","2023-12-06 10:06:24","U","2022-11-02 00:08:00.0","종합병원","200394.225955905","444207.694481581","","","","","","","","","","","","","","","",""
"3090000","PHMA220093090033021200001","2009-11-09","","01","영업/정상","13","영업중","","","","","02-1899-2226","9189.28","","서울특별시 도봉구 창동 650-46 강북힘찬병원","서울특별시 도봉구 도봉로 446, 강북힘찬병원 (창동)","01459","의료법인 상원의료재단 강북힘찬병원","2023-11-06 17:46:02","U","2022-11-01 00:08:00.0","병원","202877.044270305","460368.674382853","","","","","","","","","","","","","","","",""
"3080000","PHMA220103080033021200001","2010-03-24","","01","영업/정상","13","영업중","","","","","02-994-1156","7714.93","","서울특별시 강북구 번동 463번지 44호","서울특별시 강북구 도봉로 374 (번동, 서울현대병원)","01056","서울현대병원","2023-12-29 14:48:18","U","2022-11-01 21:01:00.0","병원","202451.867599327","459765.521965024","","","","","","","","","","","","","","","",""
"3240000","PHMA220113240033021200001","2011-10-17","","01","영업/정상","13","영업중","","","","","02-2248-7528","813.3","","서울특별시 강동구 천호동 425-5 대우 한강 베네시티","서울특별시 강동구 올림픽로 664, 4층 (천호동, 대우 한강 베네시티)","05328","아이엠치과병원","2023-08-14 16:37:29","U","2022-12-07 23:07:00.0","치과병원","210970.75707265","448713.31669728","","","","","","","","","","","","","","","",""
