"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소","정원(수용인원)","현인원","전화번호","우편번호"
"본마을데이케어센터","A5234","(노인) 재가노인복지시설","재가노인복지시설","자치구","이정연","1165000000","서초구","서울특별시 서초구 본마을2길 2(신원동 446)","17","17","02-6933-1515","06798"
"소망데이케어센터","A5249","(노인) 재가노인복지시설","재가노인복지시설","자치구","임창복","1153000000","구로구","서울특별시 구로구 서해안로 2295익준빌딩 4층","24","16","02-2611-0693","08357"
"도봉실버데이케어센터","A5265","(노인) 재가노인복지시설","재가노인복지시설","자치구","문정민","1132000000","도봉구","서울특별시 도봉구 시루봉로 133(방학동)","24","24","02-955-7135","01316"
"강서구립봉제산데이케어센터","A5282","(노인) 재가노인복지시설","재가노인복지시설","자치구","서순애","1150000000","강서구","서울특별시 강서구 초록마을로15길 12","30","23","02-2605-1555","07676"
"사단법인한국씨니어연합동작재가노인지원센터","A5440","(노인) 재가노인복지시설","재가노인복지시설","자치구","성미경","1159000000","동작구","서울특별시 동작구 동작대로7길 363층 (사당동)","80","0","02-815-8227","07015"
"주사랑단기보호센터","A5508","(노인) 재가노인복지시설","재가노인복지시설","자치구","박신광","1135000000","노원구","서울특별시 노원구 광운로 48월계빌딩 2층","9","0","02-943-7718","01894"
"진각재가노인지원센터","A5532","(노인) 재가노인복지시설","재가노인복지시설","자치구","김갑동","1129000000","성북구","서울특별시 성북구 화랑로 21-0서주빌딩 5층","130","131","02-911-1086","02740"
"인덕재가노인복지센터","A5549","(노인) 재가노인복지시설","재가노인복지시설","자치구","김용주","1138000000","은평구","서울특별시 은평구 연서로 48길 41","","80","02-3156-7514","03308"
"인덕데이케어센터","A5551","(노인) 재가노인복지시설","재가노인복지시설","자치구","김수년","1138000000","은평구","서울특별시 은평구 연서로48길 41","28","26","02-3156-7551","03308"
"중구재가노인지원센터","A5556","(노인) 재가노인복지시설","재가노인복지시설","자치구","김정애","1114000000","중구","서울특별시 중구 퇴계로88길 37(신당5동)","80","80","02-2238-8017","04578"
"영화데이케어센터","A5610","(노인) 재가노인복지시설","재가노인복지시설","자치구","김영숙","1121500000","광진구","서울특별시 광진구 동일로 322양지빌딩 5층","21","15","02-497-8252","04920"
"연희데이케어센터","A5630","(노인) 재가노인복지시설","재가노인복지시설","자치구","배윤희","1141000000","서대문구","서울특별시 서대문구 성산로 271(연희동)","28","28","02-333-9910","03706"
"동대문노인종합복지관부설구립명성데이케어센터","A5701","(노인) 재가노인복지시설","재가노인복지시설","자치구","신미화","1123000000","동대문구","서울특별시 동대문구 무학로28길 22-2(용신동)","20","20","02-926-2030","02584"
"상록재가노인지원센터","A5801","(노인) 재가노인복지시설","재가노인복지시설","자치구","김선옥","1162000000","관악구","서울특별시 관악구 남현길 63(남현동)","80","113","02-521-7097","151800"
"민들레데이케어센터","A5813","(노인) 재가노인복지시설","재가노인복지시설","자치구","이성희","1171000000","송파구","서울특별시 송파구 성내천로 193","23","23","02-448-0166","05745"
"강동구립해공데이케어센터","A5817","(노인) 재가노인복지시설","재가노인복지시설","자치구","전아미","1174000000","강동구","서울특별시 강동구 천중로17길 42-16(천호2동)","17","17","02-478-0601","134867"
"신명데이케어센터","A5823","(노인) 재가노인복지시설","재가노인복지시설","자치구","이선자","1138000000","은평구","서울특별시 은평구 증산로15길 47(신사2동)","21","17","02-303-0049","122885"
"구립재영데이케어센터","A5865","(노인) 재가노인복지시설","재가노인복지시설","자치구","장미희","1159000000","동작구","서울특별시 동작구 노량진로6다길 26재영교회 (노량진동)","27","27","02-822-5119","06931"
"보현데이케어센터","A5868","(노인) 재가노인복지시설","재가노인복지시설","자치구","양유진","1111000000","종로구","서울특별시 종로구 평창4길 21-22(평창동)","20","20","02-394-5511","03002"
"수호데이케어센터","A5914","(노인) 재가노인복지시설","재가노인복지시설","자치구","박홍래","1162000000","관악구","서울특별시 관악구 인헌길 161-9(인헌동)","20","19","02-888-1088","08800"
"서초노인주간보호센터","A5933","(노인) 재가노인복지시설","재가노인복지시설","자치구","전경아","1165000000","서초구","서울특별시 서초구 강남대로30길 73-7(양재동 7-44)","24","24","02-578-1517","06741"
"구립화원데이케어센터","A6074","(노인) 재가노인복지시설","재가노인복지시설","자치구","고명숙","1153000000","구로구","서울특별시 구로구 벚꽃로 484화원종합사회복지관 2층","35","35","02-6925-5288","08281"
"(사)굿하트전문사례관리강동재가센터","A6163","(노인) 재가노인복지시설","재가노인복지시설","자치구","김혜영","1174000000","강동구","서울특별시 강동구 천호대로198길 8 (둔촌동)","0","0","02-442-7090","05360"
"(사)굿하트전문사례관리동작재가센터","A6173","(노인) 재가노인복지시설","재가노인복지시설","자치구","배영준","1159000000","동작구","서울특별시 동작구 양녕로28길 41","0","0","02-3481-7090","07035"
"아현실버데이케어센터","A6358","(노인) 재가노인복지시설","재가노인복지시설","자치구","오명숙","1144000000","마포구","서울특별시 마포구 환일길 3(공덕동)","17","17","02-312-2161","04199"
"역촌데이케어센터","A6401","(노인) 재가노인복지시설","재가노인복지시설","자치구","차화석","1138000000","은평구","서울특별시 은평구 연서로3나길 11-303층 (역촌동)","21","21","02-385-9502","122901"
"구립대치데이케어센터","A6437","(노인) 재가노인복지시설","재가노인복지시설","자치구","이은경","1168000000","강남구","서울특별시 강남구 역삼로69길 22(대치동)","20","21","02-564-0108","06196"
"중앙소규모요양시설나형","A6540","(노인) 재가노인복지시설","재가노인복지시설","자치구","이성순","1141000000","서대문구","서울특별시 서대문구 서소문로 43-49","","4","02-362-9262","03741"
"흑석데이케어센터","A6616","(노인) 재가노인복지시설","재가노인복지시설","자치구","양문희","1159000000","동작구","서울특별시 동작구 흑석한강로 13-0서울남부교회 3층","24","24","02-825-0511","06982"
"굿하트 금천재가노인지원센터","A6676","(노인) 재가노인복지시설","재가노인복지시설","자치구","김정미","1154500000","금천구","서울특별시 금천구 시흥대로 399-0시티렉스 314호","0","42","02-805-7090","08584"
"마포노인복지센터(데이케어센터)","A6761","(노인) 재가노인복지시설","재가노인복지시설","자치구","이은정","1144000000","마포구","서울특별시 마포구 만리재옛12길 6-2(공덕동)","30","30","027123633","04208"
"우영가정봉사원파견센터재가노인복지센터","A6797","(노인) 재가노인복지시설","재가노인복지시설","자치구","문연실","1111000000","종로구","서울특별시 종로구 김상옥로 18-5","0","0","070-7521-4653","03129"
"구립성수1가2동서울숲데이케어센터","A6820","(노인) 재가노인복지시설","재가노인복지시설","자치구","박필선","1120000000","성동구","서울특별시 성동구 왕십리로5길 3성수1가제2동 공공복합청사 3층 (성수동1가)","21","22","02-464-4477","04768"
"서초어르신행복e음센터","A7032","(노인) 재가노인복지시설","재가노인복지시설","자치구","하백선","1165000000","서초구","서울특별시 서초구 방배중앙로 159-62층(방배본동 778-16)","0","0","02-6925-6990","06558"
"(구립)마포어르신돌봄통합센터","A7060","(노인) 재가노인복지시설","재가노인복지시설","자치구","엄영수","1144000000","마포구","서울특별시 마포구 토정로 148-142층","85","85","02-325-3850","04081"
"노원구어르신돌봄지원센터","A7094","(노인) 재가노인복지시설","재가노인복지시설","자치구","김춘숙","1135000000","노원구","서울특별시 노원구 상계로23길 17원터행복발전소 3층 (상계동)","93","93","02-935-5000","01684"
"행복한세상복지센터","A7104","(노인) 재가노인복지시설","재가노인복지시설","자치구","이우상","1174000000","강동구","서울특별시 강동구 구천면로57길 241층 (암사동)","50","50","0264053452","05258"
"구로어르신돌봄통합센터","A7117","(노인) 재가노인복지시설","재가노인복지시설","자치구","우진수","1153000000","구로구","서울특별시 구로구 디지털로27다길 65지하1층 (구로동)","802","803","02-865-9579","08372"
"맑은샘단기보호센터","A7168","(노인) 재가노인복지시설","재가노인복지시설","자치구","이명금","1123000000","동대문구","서울특별시 동대문구 한천로37길19, 2층 (답십리동, 창승빌딩 A동)","8","3","0222442552","02535"
"면목요양원","A7201","(노인) 재가노인복지시설","재가노인복지시설","자치구","김미옥","1126000000","중랑구","서울특별시 중랑구 상봉로61 (면목동)","5","5","02-435-1104","02158"
"은평어르신돌봄통합지원센터","A7277","(노인) 재가노인복지시설","재가노인복지시설","자치구","마정욱","1138000000","은평구","서울특별시 은평구 연서로13길 29-73층 (구산동, 은평어르신돌봄통합지원센터)","1374","1374","02-389-9712","03414"
"동행데이케어센터","A7290","(노인) 재가노인복지시설","재가노인복지시설","자치구","고상진","1129000000","성북구","서울특별시 성북구 오패산로1길1, 2층 (하월곡동)","19","18","02-921-8639","02740"
"샬렘재가노인복지센터","A7353","(노인) 재가노인복지시설","재가노인복지시설","자치구","한경순","1144000000","마포구","서울특별시 마포구 서강로1길12-9 (창전동, 6, 7층)","7","7","02-333-7599","04065"
"왕십리도선동노인복지센터병설데이케어센터","A7358","(노인) 재가노인복지시설","재가노인복지시설","자치구","김남용","1120000000","성동구","서울특별시 성동구 마장로141 (상왕십리동)","24","24","02-6925-7117","04700"
"참조은재가복지센타","A7362","(노인) 재가노인복지시설","재가노인복지시설","자치구","김복자","1135000000","노원구","서울특별시 노원구 월계로55길3 (월계동, 사슴아파트3단지 상가 202호)","25","25","02)954-1818","01865"
"구산데이케어센터","A7380","(노인) 재가노인복지시설","재가노인복지시설","자치구","박미희","1138000000","은평구","서울특별시 은평구 연서로13길 29-7구산보건지소 4층","21","21","02-353-0840","03414"
"양원사랑데이케어센터","A7458","(노인) 재가노인복지시설","재가노인복지시설","자치구","신상하","1126000000","중랑구","서울특별시 중랑구 양원역로16길103-31 (망우동)","17","17","02-433-0205","02057"
"구립북가좌데이케어센터","A7593","(노인) 재가노인복지시설","재가노인복지시설","자치구","손남식","1141000000","서대문구","서울특별시 서대문구 증가로20길43 (북가좌동)","17","16","023763080","03668"
"동소문데이케어센터","A7596","(노인) 재가노인복지시설","재가노인복지시설","자치구","김선애","1129000000","성북구","서울특별시 성북구 동소문로11길18, 101호 (동소문동4가, 삼총사타운)","20","19","02-926-7273","02832"
"미소들주야간보호센터","A7598","(노인) 재가노인복지시설","재가노인복지시설","자치구","김금자","1153000000","구로구","서울특별시 구로구 고척로21나길88-41 (개봉동)","37","50","02-2067-9039","08250"
"광진어르신복지센터","A7673","(노인) 재가노인복지시설","재가노인복지시설","자치구","오병지","1121500000","광진구","서울특별시 광진구 자양로 51길 11-25","20","13","02)453-1511","04955"
"청운데이케어센터","A7738","(노인) 재가노인복지시설","재가노인복지시설","자치구","손창숙","1159000000","동작구","서울특별시 동작구 국사봉1길 145청운노인복지센터 6층","24","22","02-823-3855","07043"
